"REF_DATE","GEO","DGUID","Mortgages","Increases and decreases","TypeOfMortgage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","54","","","","0"
"1990-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","49","","","","0"
"1990-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","4","","","","0"
"1990-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","145","","","","0"
"1990-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","122","","","","0"
"1990-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","4","","","","0"
"1990-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","58","","","","0"
"1990-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","56","","","","0"
"1990-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","2","","","","0"
"1990-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","188","","","","0"
"1990-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","170","","","","0"
"1990-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","19","","","","0"
"1990-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","70","","","","0"
"1990-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","65","","","","0"
"1990-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","5","","","","0"
"1990-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","237","","","","0"
"1990-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","225","","","","0"
"1990-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","12","","","","0"
"1990-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","55","","","","0"
"1990-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","51","","","","0"
"1990-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","4","","","","0"
"1990-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","322","","","","0"
"1990-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","240","","","","0"
"1990-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","81","","","","0"
"1991-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","65","","","","0"
"1991-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","56","","","","0"
"1991-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","9","","","","0"
"1991-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","248","","","","0"
"1991-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","235","","","","0"
"1991-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","14","","","","0"
"1991-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","725","","","","0"
