year,GEO,Sex,Type of migrant,AgeGroup,value
1971,Canada,Both sexes,Immigrants,0 to 4 years,10706
1971,Canada,Both sexes,Immigrants,5 to 9 years,8793
1971,Canada,Both sexes,Immigrants,10 to 14 years,6224
1971,Canada,Both sexes,Immigrants,15 to 19 years,10146
1971,Canada,Both sexes,Immigrants,20 to 24 years,24629
1971,Canada,Both sexes,Immigrants,25 to 29 years,21255
1971,Canada,Both sexes,Immigrants,30 to 34 years,10920
1971,Canada,Both sexes,Immigrants,35 to 39 years,6641
1971,Canada,Both sexes,Immigrants,40 to 44 years,3889
1971,Canada,Both sexes,Immigrants,45 to 49 years,2636
1971,Canada,Both sexes,Immigrants,50 to 54 years,2160
1971,Canada,Both sexes,Immigrants,55 to 59 years,2073
1971,Canada,Both sexes,Immigrants,60 to 64 years,2359
1971,Canada,Both sexes,Immigrants,65 to 69 years,1789
1971,Canada,Both sexes,Immigrants,70 to 74 years,1203
1971,Canada,Both sexes,Immigrants,75 to 79 years,446
1971,Canada,Both sexes,Immigrants,80 to 84 years,146
1971,Canada,Both sexes,Immigrants,85 to 89 years,0
1972,Canada,Both sexes,Immigrants,0 to 4 years,11982
1972,Canada,Both sexes,Immigrants,5 to 9 years,11050
1972,Canada,Both sexes,Immigrants,10 to 14 years,7955
1972,Canada,Both sexes,Immigrants,15 to 19 years,12128
1972,Canada,Both sexes,Immigrants,20 to 24 years,28596
1972,Canada,Both sexes,Immigrants,25 to 29 years,25118
1972,Canada,Both sexes,Immigrants,30 to 34 years,13625
1972,Canada,Both sexes,Immigrants,35 to 39 years,8005
1972,Canada,Both sexes,Immigrants,40 to 44 years,4682
1972,Canada,Both sexes,Immigrants,45 to 49 years,3148
1972,Canada,Both sexes,Immigrants,50 to 54 years,2588
1972,Canada,Both sexes,Immigrants,55 to 59 years,2345
1972,Canada,Both sexes,Immigrants,60 to 64 years,2404
1972,Canada,Both sexes,Immigrants,65 to 69 years,1826
1972,Canada,Both sexes,Immigrants,70 to 74 years,1047
1972,Canada,Both sexes,Immigrants,75 to 79 years,584
1972,Canada,Both sexes,Immigrants,80 to 84 years,278
1972,Canada,Both sexes,Immigrants,85 to 89 years,84
1973,Canada,Both sexes,Immigrants,0 to 4 years,18618
1973,Canada,Both sexes,Immigrants,5 to 9 years,16496
1973,Canada,Both sexes,Immigrants,10 to 14 years,12196
1973,Canada,Both sexes,Immigrants,15 to 19 years,20727
1973,Canada,Both sexes,Immigrants,20 to 24 years,45646
