"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","12.29","","","","2"
"1990-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","13.50","","","","2"
"1990-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","13.25","","","","2"
"1990-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","14.25","","","","2"
"1990-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","13.38","","","","2"
"1990-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","14.25","","","","2"
"1990-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","13.77","","","","2"
"1990-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","14.75","","","","2"
"1990-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","14.05","","","","2"
"1990-05","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","14.75","","","","2"
"1990-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","13.90","","","","2"
"1990-06","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","14.75","","","","2"
"1990-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","13.59","","","","2"
"1990-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","14.75","","","","2"
"1990-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","13.01","","","","2"
"1990-08","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","14.25","","","","2"
"1990-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","12.61","","","","2"
"1990-09","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","13.75","","","","2"
"1990-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","12.66","","","","2"
"1990-10","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","13.75","","","","2"
"1990-11","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","12.25","","","","2"
"1990-11","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","13.25","","","","2"
"1990-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","11.78","","","","2"
"1990-12","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","12.75","","","","2"
"1991-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","10.88","","","","2"
"1991-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","12.25","","","","2"
"1991-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","10.02","","","","2"
"1991-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","11.25","","","","2"
"1991-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","9.92","","","","2"
"1991-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","11.25","","","","2"
"1991-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","9.66","","","","2"
"1991-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","10.75","","","","2"
"1991-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","9.07","","","","2"
